Project_ID,Research_Topic,Region,Data_Source,Records_Analyzed,Analysis_Method,Model_Accuracy(%),Start_Date,Completion_Date,Report_Status
QAR-1000,Insurance Claim Pattern Analysis,North,Hospital Records,376228,Regression,74.89,2024-03-11,2024-03-31,Completed
QAR-1001,Network Adequacy Evaluation,North,CMS Data,358273,Classification,79.03,2023-03-29,2023-04-10,Completed
QAR-1002,Medical Resource Allocation Review,Central,Hospital Records,159534,Clustering,85.79,2023-03-10,2023-04-25,Pending Review
QAR-1003,Population Health Metrics Study,North,Public Health Surveys,111481,Clustering,92.3,2024-05-21,2024-06-10,Pending Review
QAR-1004,Telehealth Utilization Trends,Central,Public Health Surveys,61091,Time Series,72.85,2023-11-20,2023-11-29,In Progress
QAR-1005,Network Adequacy Evaluation,South,Public Health Surveys,76509,Regression,79.73,2023-07-15,2023-08-24,Completed
QAR-1006,Medical Resource Allocation Review,Central,CMS Data,365241,Classification,87.25,2023-05-15,2023-06-25,In Progress
QAR-1007,Provider Coverage Study,West,CMS Data,205974,Regression,84.47,2024-05-15,2024-06-19,In Progress
QAR-1008,Healthcare Access Analysis,South,Census Data,384332,Classification,82.36,2023-05-06,2023-06-19,Completed
QAR-1009,Provider Coverage Study,West,CMS Data,239168,Regression,93.51,2023-11-07,2023-12-18,Completed
QAR-1010,Insurance Claim Pattern Analysis,South,CMS Data,303983,Clustering,84.2,2023-08-26,2023-10-18,In Progress
QAR-1011,Healthcare Access Analysis,South,Public Health Surveys,101911,Geospatial Analysis,77.53,2023-01-29,2023-02-20,In Progress
QAR-1012,Medical Resource Allocation Review,South,CMS Data,145735,Geospatial Analysis,85.07,2024-05-23,2024-07-06,Pending Review
QAR-1013,Medical Resource Allocation Review,North,Insurance Claims,151230,Time Series,76.99,2024-06-21,2024-07-21,Completed
QAR-1014,Provider Coverage Study,East,Insurance Claims,19811,Classification,75.24,2024-01-15,2024-03-06,Completed
QAR-1015,Provider Coverage Study,East,CMS Data,284827,Clustering,71.62,2023-02-04,2023-02-23,Completed
QAR-1016,Rural Healthcare Gap Assessment,Central,Public Health Surveys,149142,Classification,91.71,2023-02-05,2023-03-01,In Progress
QAR-1017,Provider Coverage Study,East,Hospital Records,301022,Geospatial Analysis,83.06,2023-06-28,2023-08-07,Pending Review
